# sec glat glon
815 81.02225 14.40014
816 81.03795 14.40052
817 81.05367 14.40090
818 81.06940 14.40131
819 81.08513 14.40174
820 81.10087 14.40218
821 81.11662 14.40265
822 81.13238 14.40313
823 81.14815 14.40363
824 81.16393 14.40415
825 81.17971 14.40469
826 81.19551 14.40525
827 81.21131 14.40583
828 81.22712 14.40643
829 81.24294 14.40704
830 81.25877 14.40768
831 81.27461 14.40834
832 81.29046 14.40902
833 81.30631 14.40972
834 81.32218 14.41044
835 81.33805 14.41118
836 81.35394 14.41194
837 81.36983 14.41272
838 81.38573 14.41352
839 81.40164 14.41434
840 81.41756 14.41519
841 81.43349 14.41606
842 81.44943 14.41694
843 81.46538 14.41785
844 81.48134 14.41879
845 81.49731 14.41974
846 81.51328 14.42072
847 81.52927 14.42172
848 81.54527 14.42274
849 81.56127 14.42378
850 81.57729 14.42485
851 81.59331 14.42594
852 81.60935 14.42705
853 81.62539 14.42819
854 81.64145 14.42935
855 81.65751 14.43053
856 81.67359 14.43174
857 81.68967 14.43297
858 81.70577 14.43423
859 81.72188 14.43551
860 81.73799 14.43682
861 81.75412 14.43815
862 81.77025 14.43950
863 81.78640 14.44088
864 81.80256 14.44229
865 81.81872 14.44372
866 81.83490 14.44518
867 81.85109 14.44666
868 81.86729 14.44817
869 81.88350 14.44971
870 81.89972 14.45127
871 81.91595 14.45286
872 81.93219 14.45447
873 81.94844 14.45611
874 81.96470 14.45778
875 81.98098 14.45948
876 81.99726 14.46121
877 82.01356 14.46296
878 82.02986 14.46474
879 82.04618 14.46655
880 82.06251 14.46839
881 82.07885 14.47026
882 82.09520 14.47215
883 82.11156 14.47408
884 82.12794 14.47603
885 82.14432 14.47802
886 82.16072 14.48003
887 82.17713 14.48208
888 82.19355 14.48415
889 82.20998 14.48626
890 82.22642 14.48839
891 82.24287 14.49056
892 82.25934 14.49276
893 82.27582 14.49499
894 82.29231 14.49725
895 82.30881 14.49955
896 82.32532 14.50187
897 82.34185 14.50423
898 82.35838 14.50663
899 82.37493 14.50905
