# sec glat glon
515 77.22709 14.35253
516 77.24467 14.34877
517 77.26226 14.34501
518 77.27985 14.34125
519 77.29744 14.33749
520 77.31504 14.33373
521 77.33264 14.32997
522 77.35025 14.32622
523 77.36786 14.32247
524 77.38547 14.31871
525 77.40309 14.31496
526 77.42071 14.31121
527 77.43833 14.30746
528 77.45596 14.30371
529 77.47359 14.29996
530 77.49123 14.29622
531 77.50887 14.29247
532 77.52652 14.28873
533 77.54416 14.28499
534 77.56182 14.28125
535 77.57947 14.27751
536 77.59714 14.27377
537 77.61480 14.27003
538 77.63247 14.26629
539 77.65014 14.26256
540 77.66782 14.25882
541 77.68551 14.25509
542 77.70319 14.25136
543 77.72088 14.24763
544 77.73858 14.24390
545 77.75628 14.24017
546 77.77399 14.23645
547 77.79170 14.23272
548 77.80941 14.22900
549 77.82713 14.22528
550 77.84486 14.22155
551 77.86259 14.21783
552 77.88032 14.21412
553 77.89806 14.21040
554 77.91581 14.20668
555 77.93356 14.20297
556 77.95131 14.19925
557 77.96907 14.19554
558 77.98684 14.19183
559 78.00461 14.18812
560 78.02238 14.18442
561 78.04016 14.18071
562 78.05795 14.17700
563 78.07574 14.17330
564 78.09354 14.16960
565 78.11134 14.16590
566 78.12915 14.16220
567 78.14696 14.15850
568 78.16478 14.15480
569 78.18260 14.15111
570 78.20043 14.14741
571 78.21827 14.14372
572 78.23611 14.14003
573 78.25396 14.13634
574 78.27181 14.13265
575 78.28967 14.12897
576 78.30754 14.12528
577 78.32541 14.12160
578 78.34329 14.11792
579 78.36117 14.11424
580 78.37906 14.11056
581 78.39696 14.10688
582 78.41486 14.10321
583 78.43277 14.09953
584 78.45068 14.09586
585 78.46860 14.09219
586 78.48653 14.08852
587 78.50446 14.08485
588 78.52240 14.08119
589 78.54035 14.07752
590 78.55830 14.07386
591 78.57626 14.07020
592 78.59423 14.06654
593 78.61221 14.06288
594 78.63019 14.05923
595 78.64817 14.05557
596 78.66617 14.05192
597 78.68417 14.04827
598 78.70218 14.04462
599 78.72019 14.04097
600 78.73821 14.03733
601 78.75624 14.03368
602 78.77428 14.03004
603 78.79232 14.02640
604 78.81037 14.02276
605 78.82843 14.01912
606 78.84650 14.01549
607 78.86457 14.01185
608 78.88265 14.00822
